"Feature101"
"Sample1"	418
"Sample2"	183
"Sample3"	38
"Sample4"	3230
"Sample5"	243
"Sample6"	861
"Sample7"	344
"Sample8"	98
"Sample9"	624
"Sample10"	2305
"Sample11"	35324
"Sample12"	867
"Sample13"	144
"Sample14"	1317
"Sample15"	966
"Sample16"	142
"Sample17"	1893
"Sample18"	321
"Sample19"	1758
"Sample20"	255
"Sample21"	152
"Sample22"	21
"Sample23"	1732
"Sample24"	14098526
"Sample25"	363
"Sample26"	412
"Sample27"	306
"Sample28"	1448
"Sample29"	195
"Sample30"	45261
"Sample31"	117
"Sample32"	1455
"Sample33"	87
"Sample34"	1876
"Sample35"	38
"Sample36"	1216
"Sample37"	444
"Sample38"	157
"Sample39"	1948
"Sample40"	3237
"Sample41"	1662
"Sample42"	608
"Sample43"	428
"Sample44"	9646
"Sample45"	460
"Sample46"	4547
"Sample47"	69
"Sample48"	332
"Sample49"	2802
"Sample50"	2999
"Sample51"	37
"Sample52"	98
"Sample53"	154
"Sample54"	72
"Sample55"	48
"Sample56"	587
"Sample57"	9485
"Sample58"	127
"Sample59"	851
"Sample60"	903
"Sample61"	689
"Sample62"	1221
"Sample63"	203
"Sample64"	676
"Sample65"	360
"Sample66"	100
"Sample67"	1979
"Sample68"	259
"Sample69"	397
"Sample70"	1260
"Sample71"	28
"Sample72"	332344
"Sample73"	1063
"Sample74"	1391
"Sample75"	110
"Sample76"	57
"Sample77"	105
"Sample78"	135
"Sample79"	1786
"Sample80"	96
"Sample81"	422
"Sample82"	14121
"Sample83"	3148
"Sample84"	492
"Sample85"	1278
"Sample86"	24
"Sample87"	746
"Sample88"	120
"Sample89"	41
"Sample90"	142
"Sample91"	333
"Sample92"	180
"Sample93"	772
"Sample94"	111
"Sample95"	336
"Sample96"	41085
"Sample97"	114
"Sample98"	328
"Sample99"	100
"Sample100"	1774
