"Metadata_1"	"Metadata_2"	"Metadata_3"	"Metadata_4"	"Metadata_5"	"ID"
"Sample1"	1	1	-0.410114529021524	0.635246801037487	0	"Subject1"
"Sample2"	0	1	-1.35105917672927	0.236236908487175	0	"Subject2"
"Sample3"	1	1	-0.487982148868064	-0.545851432095607	0	"Subject3"
"Sample4"	0	0	-0.0726845719092809	-0.990342760038952	1	"Subject4"
"Sample5"	1	0	0.272011976423563	1.13332226297911	1	"Subject5"
"Sample6"	1	1	-0.369574702724956	0.769129619347036	0	"Subject6"
"Sample7"	0	1	-0.583917376031448	1.02198798619062	1	"Subject7"
"Sample8"	1	0	0.324886047554575	0.216661803163367	0	"Subject8"
"Sample9"	1	1	1.27288660063311	-0.27888499926025	1	"Subject9"
"Sample10"	0	1	0.77783275736581	0.50004445876326	1	"Subject10"
"Sample11"	0	1	0.769432054750662	2.51871495916642	1	"Subject11"
"Sample12"	0	0	-0.0313600624878862	-1.05382802923559	0	"Subject12"
"Sample13"	0	1	-0.422142581025903	1.04921187925287	1	"Subject13"
"Sample14"	0	1	1.31362726510707	-1.44717288378672	1	"Subject14"
"Sample15"	0	0	0.049086131938683	0.557255319664902	1	"Subject15"
"Sample16"	1	1	1.04480497354387	-1.38032619897339	1	"Subject16"
"Sample17"	0	0	0.259750705385121	-1.52447419981687	1	"Subject17"
"Sample18"	1	0	-0.153428954073889	1.54667146184332	0	"Subject18"
"Sample19"	1	1	-0.970556441363545	1.21220536512968	1	"Subject19"
"Sample20"	0	1	0.237014210454371	-0.002542178592564	0	"Subject20"
"Sample21"	1	1	0.95744430197572	0.831970188378921	0	"Subject21"
"Sample22"	1	1	0.470548388205062	0.492603296855777	0	"Subject22"
"Sample23"	1	1	-1.07540156825253	0.557402024960963	0	"Subject23"
"Sample24"	1	0	2.44022691804289	-0.0960597821708843	0	"Subject24"
"Sample25"	1	0	-0.722797492755086	0.971646472194688	0	"Subject25"
"Sample26"	1	0	-0.666351395499328	-0.582803662007159	1	"Subject26"
"Sample27"	0	1	-0.59619114006739	-1.1289263159006	0	"Subject27"
"Sample28"	1	1	0.431455917893277	-0.0499859659959873	1	"Subject28"
"Sample29"	0	1	-0.146032896494225	0.436411716989833	0	"Subject29"
"Sample30"	1	1	0.434073316207898	1.54527259137434	1	"Subject30"
"Sample31"	0	0	-0.384031976910342	0.398664155408038	0	"Subject31"
"Sample32"	0	0	-0.0372067424589328	0.921057575439518	1	"Subject32"
"Sample33"	1	1	0.108751632825987	1.03216988767721	0	"Subject33"
"Sample34"	0	1	0.0745767717301899	0.574665250218762	0	"Subject34"
"Sample35"	1	0	0.19485120312201	-0.616060788972344	1	"Subject35"
